Game ,Win/Loss,Margin,Shots Taken ,Assists
12/1/99,W,18,18,3
12/3/99,W,13,15,0
12/5/99,W,17,12,3
12/7/99,W,11,13,2
12/8/99,L,-12,19,5
12/11/99,W,12,12,7
12/12/99,W,8,24,6
12/14/99,W,27,12,3
12/16/99,W,7,19,2
12/17/99,W,9,24,12
12/19/99,W,6,20,3
12/20/99,W,9,17,4
12/25/99,W,6,19,5
12/27/99,W,2,22,4
12/29/99,W,16,15,6
1/4/00,W,24,26,2
1/5/00,W,17,22,6
1/7/00,W,4,19,4
1/8/00,W,10,18,1
1/10/00,W,35,18,4
1/12/00,W,9,19,5
1/14/00,L,-9,19,3
1/15/00,W,13,18,6
1/17/00,L,-1,18,2
1/19/00,W,9,15,4
1/22/00,L,-4,19,2
1/24/00,L,-4,24,1
1/28/00,W,28,15,0
1/30/00,L,-6,22,5
2/1/00,L,-24,14,8
2/4/00,W,46,8,9
2/7/00,W,8,21,11
2/9/00,W,33,17,4
2/15/00,W,12,14,5
2/16/00,W,7,18,6
2/18/00,W,8,10,5
2/20/00,W,3,15,7
2/22/00,W,8,20,4
2/23/00,W,18,22,6
2/25/00,W,13,12,5
2/27/00,W,16,18,6
2/29/00,W,3,11,3
3/1/00,W,12,22,3
3/3/00,W,15,17,7
3/5/00,W,13,12,3
3/6/00,W,20,12,5
3/9/00,W,17,19,4
3/12/00,W,3,24,8
3/13/00,W,10,20,5
3/16/00,L,-7,10,7
3/17/00,W,28,21,6
3/19/00,W,7,23,7
3/20/00,W,11,25,4
3/22/00,W,23,16,4
3/24/00,W,8,15,7
3/26/00,W,1,19,4
3/29/00,W,9,20,3
3/31/00,W,12,12,5
4/2/00,W,24,11,8
4/5/00,W,7,14,11
4/8/00,L,-18,30,5
4/10/00,W,3,28,6
4/14/00,W,7,21,5
4/16/00,W,6,18,10
4/18/00,L,-10,20,6
4/19/00,L,-5,21,1
4/23/00,W,10,22,5
4/27/00,W,24,20,1
4/30/00,L,-8,25,2
5/2/00,L,-13,30,4
5/5/00,W,27,16,6
5/7/00,W,28,17,1
5/10/00,W,1,11,6
5/12/00,W,6,20,2
5/14/00,L,-19,20,5
5/16/00,W,22,16,3
5/20/00,W,15,9,6
5/22/00,L,-29,9,4
5/26/00,W,2,18,7
5/28/00,W,12,15,7
5/30/00,L,-8,13,4
6/2/00,L,-10,24,6
6/4/00,W,5,19,7
6/7/00,W,17,13,5
6/14/00,W,2,27,5
6/16/00,L,-33,20,3
6/19/00,W,5,27,4
10/30/01,W,11,24,4
11/1/01,W,4,22,8
11/2/01,W,23,14,9
11/4/01,W,4,21,7
11/9/01,W,24,15,7
11/11/01,W,13,13,8
11/15/01,W,1,27,5
11/16/01,L,-12,15,5
11/18/01,W,8,19,8
11/20/01,W,5,14,12
11/21/01,W,21,15,7
11/23/01,W,16,14,3
11/25/01,W,7,19,7
11/27/01,W,19,23,4
11/30/01,W,15,19,3
12/1/01,W,26,15,5
12/5/01,W,4,23,5
12/7/01,L,-6,23,3
12/11/01,L,-11,23,1
12/14/01,W,30,18,7
12/16/01,W,16,12,3
12/20/01,W,6,26,5
12/21/01,L,-6,23,6
12/25/01,W,6,19,9
12/26/01,L,-11,28,5
12/28/01,L,-3,24,6
12/30/01,W,24,17,11
1/2/02,W,1,22,3
1/4/02,W,32,15,6
1/6/02,W,20,20,2
1/8/02,W,29,17,6
1/9/02,W,19,22,4
1/11/02,L,-18,27,5
1/12/02,L,-2,25,9
1/14/02,W,39,34,4
1/16/02,L,-6,30,7
1/19/02,W,17,25,5
1/22/02,L,-16,14,6
1/23/02,L,-5,25,4
1/25/02,W,3,19,6
1/27/02,L,-6,17,3
1/29/02,W,34,20,2
1/30/02,W,18,23,4
2/1/02,W,15,13,6
2/3/02,W,7,25,6
2/6/02,L,-8,26,1
2/12/02,W,9,20,15
2/14/02,W,5,21,10
2/15/02,L,-3,13,10
2/17/02,L,-6,26,2
2/19/02,L,-1,25,9
2/21/02,W,7,24,6
2/22/02,W,2,19,6
2/24/02,W,16,18,5
2/26/02,W,10,25,6
2/27/02,L,-11,25,11
3/1/02,W,12,17,3
3/6/02,L,-8,19,4
3/10/02,W,14,14,7
3/12/02,W,41,17,4
3/14/02,W,8,14,6
3/15/02,W,6,26,2
3/17/02,W,2,14,11
3/19/02,L,-16,18,3
3/20/02,L,-18,16,0
3/22/02,W,12,17,7
3/24/02,W,1,21,4
3/26/02,W,5,10,3
3/27/02,L,-12,20,3
3/29/02,W,12,26,6
3/31/02,W,1,24,3
4/2/02,W,20,13,6
4/3/02,L,-2,30,3
4/5/02,L,-18,25,2
4/7/02,W,8,12,4
4/9/02,W,30,16,5
4/11/02,W,13,20,2
4/14/02,L,-8,15,9
4/15/02,W,7,16,4
4/17/02,W,14,17,5
4/21/02,W,8,28,3
4/25/02,W,7,21,5
4/28/02,W,1,19,7
5/5/02,W,6,18,4
5/7/02,L,-3,25,6
5/10/02,W,10,31,6
5/12/02,W,2,27,3
5/14/02,W,6,20,5
5/18/02,W,7,26,5
5/20/02,L,-6,21,2
5/24/02,L,-13,24,3
5/26/02,W,1,26,2
5/28/02,L,-1,29,3
5/31/02,W,4,20,5
6/2/02,W,6,26,7
6/5/02,W,5,16,6
6/7/02,W,23,15,3
6/9/02,W,3,23,4
6/12/02,W,6,16,8
10/29/02,L,-5,29,5
10/30/02,L,-12,18,2
11/1/02,W,15,18,12
11/3/02,W,3,19,12
11/5/02,L,-19,13,9
11/7/02,L,-3,47,4
11/8/02,L,-1,21,4
11/12/02,L,-12,22,8
11/15/02,W,7,40,4
11/17/02,L,-4,37,4
11/19/02,L,-26,21,3
11/20/02,L,-7,25,7
11/22/02,W,13,14,7
11/24/02,W,12,15,11
